项目编号,项目名称,合同编号,收款阶段行数,回款类型
QABJ-SS-202109249006,平安科技天眼扩容-2021配置单,QAX20210916000200,2,到货款、预付款
QABJ-SS-202309129001,深证通-2023年-安全集成项目配置单,QAX20230906000036,1,终验款
QABJ-SS-202506259005,中信期货-2025年-EDR项目配置单,QAX20250623000068,3,初验款、合同约定日期收款、终验款
QABJ-SS-202512039001,平安科技防火墙替换项目配置单,QAX20251202000107,1,终验款
QABJ-SS-202512119002,平安证券安全运营二期项目配置单,QAX20251210000232,1,终验款
QABJ-SS-202601169001,中国电力工程+终端安全项目配置单,QAX20260108000093,1,终验款
QAGD-SS-202601169017,平安科技天眼维保2026配置单,QGD20260114000053,2,到货款、预付款
QAGD-SS-202603199054,2026年招银金融资产NAT项目HK配置单,QGD20260306000004,2,到货款、预付款
QAGD-SS-202604169028,中电金信深圳防火墙及上网行为采购项目配置单,QGD20260410000049,2,到货款、预付款
QAGD-SS-202604299026,深圳市安畅易科技有限公司-防火墙与网关配置单,QGD20260429000051,1,预付款
QAGD-SS-202604309019,鹏安基金-2026天擎扩容配置单,QGD20260427000040,1,预付款
QAGD-SS-202605089020,福州启联-天擎项目配置单,QGD20260427000038,1,预付款
QAGD-SS-202606089020,中英人寿+天擎V6跃迁天擎V10项目配置单,QGD20260604000053,1,预付款
WSGF-SF-202504220025,售前服务-平安银行股份有限公司-202504220025,QAX20250313000093,2,终验款、预付款
WSGF-SF-202510150225,售前服务-华商银行-202510150225,SEC20250620000023,1,终验款
WSGF-SF-202601160090,售前服务-卓望数码技术（深圳）有限公司-202601160090,QAX20250919000152,2,到货款、终验款
WSGF-SF-202601160120,售前服务-东莞银行股份有限公司-202601160120,SEC20251023000035,2,终验款、预付款
WSGF-SF-202601160134,售前服务-百行征信有限公司-202601160134,SEC20251119000037,2,终验款、预付款
WSGF-SF-202604150058,售前服务-中国电信股份有限公司深圳分公司-202604150058,QGD20250722000029,1,预付款
WSGF-SF-202604150218,售前服务-中国移动通信集团广东有限公司深圳分公司-202604150218,SEC20250214000020,2,到货款、终验款
WSGF-SF-202604150256,售前服务-华夏银行股份有限公司深圳分行-202604150256,SEC20260123000078,1,合同约定日期收款
WSGF-SF-202604150403,售前服务-招银金融资产投资有限公司-202604150403,SEC20250923000348,3,初验款、终验款、预付款
WSGF-SS-202209239327,2022年标普云天眼采购配置单,SEC20220919000114,2,到货款、预付款
WSGF-SS-202405139039,浙江天怀数智科技有限公司防火墙配置单,SEC20240410000066,4,初验款、终验款、质保金、预付款
WSGF-SS-202409189034,南航信创终端安全扩容项目配置单,SEC20240914000070,3,终验款、阶段验收款
WSGF-SS-202505289018,中共天津经济技术开发区委员会办公室（天津经济技术开发区管理委员会办公室）25年安服项目配置单,SEC20250516000071,2,终验款、阶段验收款
WSGF-SS-202506259122,邯郸特气态势感知建设项目配置单,SEC20250625000117,2,终验款、质保金
WSGF-SS-202506279070,2025年南航数智安全测试服务项目配置单,SEC20250620000240,12,阶段验收款
WSGF-SS-202509199048,牧原食品信息安全升级拆分配置单,SEC20250915000016,4,到货款、合同约定日期收款、终验款、质保金
WSGF-SS-202603259044,辽宁联通行为审计设备采购项目配置单,SEC20260320000080,3,初验款、到货款、终验款
WSGF-SS-202604169018,广东天普生化医药股份有限公司-防火墙与网关配置单,SEC20260415000089,1,预付款
WSGF-SS-202605139011,亚太卫星+天眼配置单,SEC20260508000062,1,预付款
WSGF-SS-202606039006,辽宁联通鞍山分公司政务云安全设备采购项目配置单,SEC20260508000016,2,到货款、终验款
