项目编号,项目名称,现有回款节点数,现有回款阶段(里程碑反推),现有回款金额合计,是否有进度里程碑
QAGD-SS-202504179001,长江商学院-办公终端安全配置单,1,到货,140000.0,有
QAGD-SS-202508149002,天津滨海新区建投轨道交通建设有限公司MLC安全部分配置单,0,,0,有
WSGF-SF-202301100425,售前服务-中银金融商务有限公司-202301100425,0,,0,有
WSGF-SF-202310250037,售前服务-中国联合网络通信有限公司辽宁省分公司-202310250037,0,,0,有
WSGF-SF-202310250651,售前服务-宁波市生态环境局-202310250651,0,,0,有
WSGF-SF-202311030032,售前服务-中国联合网络通信有限公司辽宁省分公司-202311030032,0,,0,有
WSGF-SF-202311030035,售前服务-中国邮政储蓄银行股份有限公司上海分行-202311030035,0,,0,有
WSGF-SF-202311030114,售前服务-中国农业银行股份有限公司-202311030114,0,,0,有
WSGF-SF-202401300526,售前服务-吉林省公安厅-202401300526,0,,0,有
WSGF-SF-202401300531,售前服务-长春市公安局-202401300531,0,,0,有
WSGF-SF-202502100259,售前服务-中国移动通信集团广东有限公司湛江分公司-202502100259,2,到货、终验,98017.44,有
WSGF-SF-202502100319,售前服务-中国移动通信集团有限公司广东分公司-202502100319,0,,0,有
WSGF-SF-202502100388,售前服务-唐山市丰润区城乡水务集团有限公司-202502100388,0,,0,有
WSGF-SF-202502100723,售前服务-中国证券业协会-202502100723,0,,0,有
WSGF-SF-202504220143,售前服务-中国期货市场监控中心有限责任公司-202504220143,1,到货,184320.0,有
WSGF-SF-202507140009,售前服务-中国工商银行股份有限公司-202507140009,0,,0,有
WSGF-SF-202507140209,售前服务-中国电信集团有限公司广东分公司-202507140209,0,,0,有
WSGF-SF-202507140420,售前服务-中国移动通信集团广东有限公司广州分公司-202507140420,0,,0,有
WSGF-SF-202507140430,售前服务-中国移动通信集团广东有限公司韶关分公司-202507140430,0,,0,有
WSGF-SF-202507140435,售前服务-中国移动通信集团广东有限公司珠海分公司-202507140435,0,,0,有
WSGF-SF-202507140440,售前服务-中国移动通信集团广东有限公司河源分公司-202507140440,0,,0,有
WSGF-SF-202507140629,售前服务-中州期货有限公司-202507140629,0,,0,有
WSGF-SF-202507140999,售前服务-中国移动通信集团广东有限公司惠州分公司-202507140999,0,,0,有
WSGF-SF-202507150032,售前服务-中国移动通信集团广东有限公司汕头分公司-202507150032,0,,0,有
WSGF-SF-202507150033,售前服务-中国移动通信集团广东有限公司湛江分公司-202507150033,0,,0,有
WSGF-SF-202507150045,售前服务-中国移动通信集团广东有限公司湛江分公司-202507150045,0,,0,有
WSGF-SF-202507150048,售前服务-中国移动通信集团广东有限公司江门分公司-202507150048,0,,0,有
WSGF-SF-202510150062,售前服务-京东科技集团-202510150062,1,到货,261510.2,有
WSGF-SF-202510150279,售前服务-中国工商银行股份有限公司广东省分行-202510150279,0,,0,有
WSGF-SF-202510150633,售前服务-SS-Guangdong-202510150633,0,,0,有
WSGF-SF-202510150689,售前服务-岭南文化研究中心-202510150689,0,,0,有
WSGF-SF-202601160095,售前服务-上海复星医药（集团）股份有限公司-202601160095,0,,0,有
WSGF-SF-202601160158,售前服务-中国银联股份有限公司-202601160158,0,,0,有
WSGF-SF-202601160318,售前服务-中国电信股份有限公司广东分公司-202601160318,0,,0,有
WSGF-SF-202601160336,售前服务-北京市公安局东城分局-202601160336,0,,0,有
WSGF-SF-202604150199,售前服务-中国移动通信集团上海有限公司-202604150199,0,,0,有
WSGF-SF-202604150202,售前服务-中国移动通信集团上海有限公司-202604150202,0,,0,有
WSGF-SF-202604150212,售前服务-中国移动通信集团上海有限公司-202604150212,0,,0,有
WSGF-SF-202604150420,"售前服务-Industrial and Commercial Bank of China Limited, London Branch-202604150420",0,,0,有
WSGF-SS-202504179005,票交所2025安服需求项目配置单,0,,0,有
WSGF-SS-202505159006,新奥能源工控设备项目+防火墙、探针配置单,0,,0,有
WSGF-SS-202508139028,2025年工商银行全行防火墙实施管理服务项目配置单,0,,0,有
WSGF-SS-202509059027,廊坊银行终端杀毒项目+天擎配置单,0,,0,有
WSGF-SS-202509229053,渤海银行分行天眼订单2025配置单,0,,0,有
WSGF-SS-202510299014,长春市局-办公室-705配置单,0,,0,有
WSGF-SS-202512269035,2025年邮政集团天擎采购项目配置单,0,,0,有
WSGF-SS-202601129002,恒安标准天擎维保服务项目配置单,0,,0,有
WSGF-SS-202601279007,联通沃音乐+云网资源新增项目（广州网络信息安全部分）+日志审计+天眼配置单,0,,0,有
WSGF-SS-202602269007,天翼安全2025年威胁情报项目交付成本增补订单配置单,0,,0,有
WSGF-SS-202603119001,玉锋实业集团有限公司-数采网网络安全加固交付实施配置单,0,,0,有
WSGF-SS-202603239017,GAB终端安全试点专项——北京市GA局人员提前实施项目配置单,0,,0,有
WSGF-SS-202603309008,银河证券-天擎维保加驻场配置单,0,,0,有
WSGF-SS-202604249012,2026年上海银行天擎及准入例行巡检服务配置单,0,,0,有
WSGF-SS-202604279007,联通云-GC专项新建工程配置单,0,,0,有
WSGF-SS-202605089016,2026年建行天擎项目技术支持-（提前立项）配置单,0,,0,有
WSGF-SS-202605229028,2025年网联清算零信任定制开发配置单,0,,0,有
WSGF-SS-202605269009,新奥能源工控设备备货+防火墙配置单,0,,0,有
WSGF-SS-202605289010,移动集团信网部运维支撑配置单,0,,0,无
WSGF-SS-202606019006,资产一本账项目建设配置单,0,,0,无
WSGF-SS-202606119022,太保安全运营平台三期定开需求+SOC配置单,0,,0,无
WSGF-TS-202407100001,首钢集团天擎迁移项目,0,,0,无
WSGF-TS-202407100003,北京燃气天擎迁移项目,0,,0,无
WSGF-TS-202407250001,国网辽宁电力终端天擎V6跃迁V10,0,,0,有
WSGF-TS-202410230001,北京科锐国际人力资源股份有限公司天擎V6升级V10项目,0,,0,无
WSGF-TS-202503210008,深圳供电局v6升v10,0,,0,有
WSGF-TS-202503210009,南网调峰调频v6升v10,0,,0,有
WSGF-TS-202503240006,中国石油化工股份有限公司镇海炼化分公司天擎跃迁,0,,0,无
WSGF-TS-202503240007,天擎V6跃迁,0,,0,无
WSGF-TS-202503280002,上海电力天擎升级,0,,0,有
WSGF-TS-202503310001,天擎续保采购项目,0,,0,有
WSGF-TS-202503310003,宁波市江北区教育局天擎跃迁,0,,0,无
WSGF-TS-202503310005,天擎续保采购项目,0,,0,无
WSGF-TS-202503310006,天擎续保采购项目,0,,0,无
WSGF-TS-202503310007,上海银行V6跃迁V10,0,,0,有
WSGF-TS-202503310008,天擎续保采购项目,0,,0,无
WSGF-TS-202504100001,2025年华兴银行天擎V6跃迁V10项目,0,,0,有
WSGF-TS-202505140001,中石化宁波工程有限公司天擎跃迁,0,,0,无
WSGF-TS-202507280001,北京市公安局V6跃迁V10专项,0,,0,有
WSGF-TS-202512050001,白城市公安局V6跃迁V10项目,0,,0,有
WSGF-TS-202601120001,中国南方电网有限责任公司超高压输电公司天擎V6跃迁天擎V10项目,0,,0,有
WSGF-TS-202602050001,东北证券股份有限公司V6跃迁V10项目,0,,0,有
WSGF-TS-202605180001,南网科技终端安全升级项目,0,,0,无
WSGF-TS-202605290001,‌广东电网有限责任公司广州供电局天擎V6跃迁天擎V10项目,0,,0,无
XS20181226000072,河北省气象局系统NGSOC项目-态势感知,2,到货、终验,3921275.1,有
XS20190307000025,【鄂尔多斯互联网+项目】云安全服务,2,初验、终验,526148.0,有
XS20190613000060,京东云半年框架采购-2合同,0,,0,有
