项目编号,项目名称,是否售前,是否在原86清单
QAGD-SS-202508149002,天津滨海新区建投轨道交通建设有限公司MLC安全部分配置单,否,是
WSGF-SS-202504179005,票交所2025安服需求项目配置单,否,是
WSGF-SS-202505159006,新奥能源工控设备项目+防火墙、探针配置单,否,是
WSGF-SS-202508139028,2025年工商银行全行防火墙实施管理服务项目配置单,否,是
WSGF-SS-202509059027,廊坊银行终端杀毒项目+天擎配置单,否,是
WSGF-SS-202509229053,渤海银行分行天眼订单2025配置单,否,是
WSGF-SS-202510299014,长春市局-办公室-705配置单,否,是
WSGF-SS-202512269035,2025年邮政集团天擎采购项目配置单,否,是
WSGF-SS-202601129002,恒安标准天擎维保服务项目配置单,否,是
WSGF-SS-202601279007,联通沃音乐+云网资源新增项目（广州网络信息安全部分）+日志审计+天眼配置单,否,是
WSGF-SS-202602269007,天翼安全2025年威胁情报项目交付成本增补订单配置单,否,是
WSGF-SS-202603119001,玉锋实业集团有限公司-数采网网络安全加固交付实施配置单,否,是
WSGF-SS-202603239017,GAB终端安全试点专项——北京市GA局人员提前实施项目配置单,否,是
WSGF-SS-202603309008,银河证券-天擎维保加驻场配置单,否,是
WSGF-SS-202604169018,广东天普生化医药股份有限公司-防火墙与网关配置单,否,否
WSGF-SS-202604249012,2026年上海银行天擎及准入例行巡检服务配置单,否,是
WSGF-SS-202604279007,联通云-GC专项新建工程配置单,否,是
WSGF-SS-202605089016,2026年建行天擎项目技术支持-（提前立项）配置单,否,是
WSGF-SS-202605229028,2025年网联清算零信任定制开发配置单,否,是
WSGF-SS-202605269009,新奥能源工控设备备货+防火墙配置单,否,是
WSGF-SS-202605289010,移动集团信网部运维支撑配置单,否,是
WSGF-SS-202606019006,资产一本账项目建设配置单,否,是
WSGF-SS-202606119022,太保安全运营平台三期定开需求+SOC配置单,否,是
WSGF-SS-202606159029,工商银行宁波分行态势感知设备采购配置单,否,否
WSGF-SS-202606169010,承德政务云-冀盾-云租户安全服务配置单,否,否
WSGF-TS-202407100001,首钢集团天擎迁移项目,否,是
WSGF-TS-202407100003,北京燃气天擎迁移项目,否,是
WSGF-TS-202407250001,国网辽宁电力终端天擎V6跃迁V10,否,是
WSGF-TS-202410230001,北京科锐国际人力资源股份有限公司天擎V6升级V10项目,否,是
WSGF-TS-202503210008,深圳供电局v6升v10,否,是
WSGF-TS-202503210009,南网调峰调频v6升v10,否,是
WSGF-TS-202503240006,中国石油化工股份有限公司镇海炼化分公司天擎跃迁,否,是
WSGF-TS-202503240007,天擎V6跃迁,否,是
WSGF-TS-202503280002,上海电力天擎升级,否,是
WSGF-TS-202503310001,天擎续保采购项目,否,是
WSGF-TS-202503310003,宁波市江北区教育局天擎跃迁,否,是
WSGF-TS-202503310005,天擎续保采购项目,否,是
WSGF-TS-202503310006,天擎续保采购项目,否,是
WSGF-TS-202503310007,上海银行V6跃迁V10,否,是
WSGF-TS-202503310008,天擎续保采购项目,否,是
WSGF-TS-202504100001,2025年华兴银行天擎V6跃迁V10项目,否,是
WSGF-TS-202505140001,中石化宁波工程有限公司天擎跃迁,否,是
WSGF-TS-202507280001,北京市公安局V6跃迁V10专项,否,是
